1,61,4.0
1,202,3.8629851
1,189,3.857143
1,20,3.819629
1,265,3.8196232
1,160,3.749924
1,117,3.7065191
1,155,3.5
1,171,3.5
1,33,3.374636
2,251,4.4004893
2,50,4.3289623
2,297,4.1809077
2,292,3.9612334
2,290,3.6650925
2,280,3.5025666
2,312,3.285985
2,281,3.2153327
2,13,3.149645
2,314,1.0
3,332,3.6357622
3,331,3.51423
3,328,3.448931
3,343,3.394119
3,294,3.3676956
3,245,3.104109
3,323,3.0604298
3,334,2.855704
3,335,2.7853866
3,337,1.0
4,361,4.5
4,50,4.320303
4,357,4.277479
4,354,3.745344
4,303,3.717856
4,356,3.6175256
4,294,3.352237
4,288,3.3110514
4,264,2.8414986
4,260,2.3490689
5,98,4.099897
5,1,3.999992
5,17,3.5065022
5,2,3.2992957
5,454,2.6666667
5,225,2.5555556
5,363,2.3333333
5,110,2.0
5,424,1.5
5,439,1.0
6,492,4.502305
6,463,4.2579823
6,23,4.188591
6,98,4.099653
6,14,4.063739
6,86,3.995649
6,69,3.898565
6,517,3.8957326
6,258,3.8532317
6,301,3.3191419
7,32,4.6666665
7,492,4.5
7,648,4.401961
7,661,4.3328805
7,430,4.285714
7,479,4.071429
7,497,4.0
7,163,3.758291
7,382,3.6941764
7,455,3.0
8,50,4.318842
8,89,4.001677
8,22,3.934382
8,79,3.921965
8,182,3.8779001
8,385,3.7750657
8,294,3.3437161
8,338,3.1004016
8,550,2.822716
8,457,1.75
9,691,5.0
9,6,4.6633162
9,487,4.3333335
9,479,4.071429
9,298,4.0
9,507,3.8181818
9,527,3.7450922
9,340,3.4978173
9,286,3.490501
9,521,3.4
10,611,5.0
10,100,4.2186756
10,285,4.0870423
10,488,4.0000005
10,504,4.0
10,175,3.8190868
10,486,3.778391
10,7,3.761095
10,16,3.3345087
10,461,3.25
11,425,4.3333335
11,558,4.0
11,740,3.8888888
11,732,3.857143
11,111,3.5925925
11,723,3.4
11,227,3.1538463
11,38,3.142857
11,725,3.0
11,110,2.0
12,172,4.1331677
12,96,4.0639176
12,132,4.044458
12,471,4.038864
12,143,4.024607
12,97,4.015925
12,735,4.0
12,82,3.8329346
12,204,3.7732637
12,300,3.5712657
13,272,4.31535
13,98,4.0997024
13,836,4.0
13,56,3.9344437
13,215,3.9220622
13,186,3.8904788
13,360,3.75
13,198,3.6205359
13,344,3.4166667
13,526,3.293952
14,530,4.600735
14,213,4.3299994
14,709,4.28509
14,357,4.2785773
14,174,4.2471666
14,474,4.1752486
14,98,4.1030636
14,269,4.016174
14,22,3.9586883
14,111,3.5928135
15,127,4.3736997
15,222,3.8427305
15,685,3.609317
15,25,3.5271392
15,331,3.4518547
15,749,3.4285715
15,405,3.414763
15,678,2.8796594
15,932,2.746751
15,473,2.522431
16,178,4.4984965
16,197,4.4553323
16,705,4.446268
16,64,4.319962
16,209,4.010492
16,89,3.974333
16,194,3.8420367
16,8,3.7633967
16,55,3.3846154
16,944,2.3333333
17,9,4.068604
17,1,4.0065713
17,237,3.812418
17,508,3.786985
17,117,3.7141812
17,151,3.5855124
17,125,3.5533032
17,744,3.3549795
17,245,3.1603296
17,13,3.1465847
18,408,4.625
18,443,4.0003796
18,113,4.0
18,86,3.9995914
18,496,3.9995492
18,182,3.8695266
18,202,3.8635805
18,26,3.8285713
18,729,3.6666667
18,950,3.0
19,313,4.2034883
19,258,3.860204
19,435,3.8361592
19,153,3.833919
19,655,3.6656613
19,382,3.661205
19,4,3.6338587
19,692,3.5355608
19,201,3.5
19,310,3.4714792
20,11,4.368224
20,172,4.1286483
20,186,3.890543
20,194,3.823575
20,208,3.7687416
20,176,3.5876997
20,405,3.3926706
20,288,3.2809813
